mes;__status;align_mean;emenda_mean;pct_pos_emenda;n
2021-12-01;indep;0.822268437050072;1.3804153977683575;0.901615741481363;6251
2021-12-01;opos;0.43832915023305846;1.6662878601075652;0.9320544998207243;5578
2022-02-01;coal;0.87283107578641;0.5059173219444756;0.6242023956117766;8933
2022-02-01;indep;0.7961302501179802;0.695504124511562;0.7154318074563474;6357
2022-02-01;opos;0.3291221250404924;0.6434697580936183;0.7747003563330094;6174
2022-03-01;coal;0.9032680809239086;0.021418857730362836;0.074780899336555;12209
2022-03-01;indep;0.7569093610698365;0.01512615902823187;0.0638930163447251;3365
2022-03-01;opos;0.3899020601148261;0.030961083026004664;0.11972306653157717;5922
2022-04-01;coal;0.9188325342753806;1.3751134509992429;0.6196484145007991;11889
2022-04-01;indep;0.8165479823669041;1.30000418439471;0.590030518819939;2949
2022-04-01;opos;0.3448594674556213;1.257193683600222;0.648853550295858;5408
2022-05-01;coal;0.8818675107393172;6.059261730159394;0.9476599593036401;17692
2022-05-01;indep;0.7482415716711133;5.745178575083677;0.955372301722047;4123
2022-05-01;opos;0.3118306044564816;5.048069248222332;0.942139603594731;8123
2022-06-01;coal;0.9396959880388737;7.11090072897832;0.9414403189633691;8026
2022-06-01;indep;0.7876056338028169;6.9531815319605625;0.956056338028169;1775
2022-06-01;opos;0.33268644302744665;6.612824899542557;0.9670085943997782;3607
2022-07-01;coal;0.9217682128835248;4.211291582252436;0.9384906209102807;6877
2022-07-01;indep;0.8294377763739734;4.1403754055527475;0.9134554643082754;1583
2022-07-01;opos;0.46708683473389356;4.555812889446779;0.9586834733893558;2856
2022-08-01;coal;0.9160691303548446;0.3846116193068579;0.6027762456333885;10878
2022-08-01;indep;0.7452943532238686;0.43535157028834565;0.7144573488185822;2497
2022-08-01;opos;0.2835997631734754;0.643762994434577;0.7645549634892441;5067
2022-09-01;coal;1.0;0.06667333333333333;0.3333333333333333;3
2022-10-01;coal;0.9302870533099004;0.3726641470240187;0.5647334504979497;1707
2022-10-01;indep;0.7885572139303483;0.27292167771144266;0.5746268656716418;402
2022-10-01;opos;0.2657601977750309;0.5151100595055621;0.7268232385661311;809
2022-11-01;coal;0.8805184285135682;0.3602644578169299;0.552652895909275;4938
2022-11-01;indep;0.7850467289719626;0.2999251966100253;0.5598980458793543;1177
2022-11-01;opos;0.4591792656587473;0.5825135473779695;0.7619870410367171;2315
2022-12-01;coal;0.8006126427179059;0.673206355753272;0.7543859649122807;3591
2022-12-01;indep;0.7526377491207503;0.5790299048182889;0.7667057444314185;853
2022-12-01;opos;0.5932494279176201;1.1119327492677344;0.8604118993135011;1748
