idLegislatura;mes;align_mean;pol_simple_mean;pol_jaccard_mean;pol_paper_euc;n
55;2017-03-01;0.6843757546486356;0.33645296216955717;0.6432911768936098;31.974711933225777;4141
55;2017-04-01;0.668161845477847;0.47680941177547115;0.8122822761195644;30.36665216901057;10924
55;2017-05-01;0.798006762769176;0.38128886259250394;0.6840302632761114;31.253976817906004;11238
55;2017-06-01;0.7941080196399345;0.3235458576807695;0.7466243151489637;26.680710885380226;3055
55;2017-07-01;0.7774926686217009;0.1397050559870338;0.775793819599281;27.463661873308748;2728
55;2017-08-01;0.7309252462816302;0.30052674522648287;0.6764641100189555;26.544450372530957;5177
55;2017-09-01;0.7975659924580047;0.3541860072414139;0.42763053638757753;26.951729630677445;5834
55;2017-10-01;0.7119894598155467;0.39924323332854017;0.6655530060187594;28.023437265771776;3795
55;2017-11-01;0.7714049927790386;0.25970805518714973;0.5034500633667515;32.48065930131713;4847
55;2017-12-01;0.7656101727082938;0.2896313837164564;0.48342480859489123;32.42539255313182;5269
55;2018-02-01;0.7978923598042905;0.44794845802262806;0.8408807673130871;31.925317493275852;2657
55;2018-03-01;0.7867494824016563;0.3908287549504581;0.7474466257028499;31.925317493275852;1449
55;2018-04-01;0.7856929063154744;0.3944525356991643;0.8397331145932979;31.925317493275852;6682
55;2018-05-01;0.7491961414790996;0.2928496835422554;0.792010312755276;31.925317493275855;7464
55;2018-06-01;0.7267330524703178;0.29057238578710465;0.6854581574612287;31.925317493275852;5222
55;2018-07-01;0.645255003227889;0.5073385022996819;0.8071302863343769;31.92531749327585;6196
55;2018-10-01;0.839607201309329;0.3894203748880585;0.8212642435845969;31.925317493275855;611
55;2018-11-01;0.7755370451556335;0.46011397291228023;0.486310414216974;31.925317493275855;2281
55;2018-12-01;0.8948824343015215;0.4244299944496421;0.4294147252878711;31.925317493275852;723
56;2019-02-01;0.6872852233676976;0.6511146459638548;0.7604223695321205;65.18917096162046;4074
56;2019-03-01;0.8302431610942249;0.35011030937483606;0.4774766182422021;65.55038587039726;6580
56;2019-04-01;0.7272727272727273;0.8888888888888888;0.8888888888888888;70.27268765665804;66
56;2019-05-01;0.7383255884817551;0.45681622648953446;0.754321742771101;78.21017431224871;13127
56;2019-06-01;0.7418491484184915;0.10405148156428722;0.18096218520143822;82.87444213723464;4110
56;2019-07-01;0.7718025323659127;0.4481443357352974;0.6128185787155626;82.2321098373115;14058
56;2019-08-01;0.7768386332010514;0.4151484801477332;0.632607482951347;80.4131966383154;19403
56;2019-09-01;0.6194852941176471;0.3642734712964989;0.47132466725409883;84.31872963523881;4896
56;2019-10-01;0.8427802000512952;0.32982578676575836;0.47250160593771084;85.92907839318518;7798
56;2019-11-01;0.7358074415036441;0.4560264431145995;0.538334735757587;86.06631477223395;10428
56;2019-12-01;0.7637134691619802;0.28819145568686094;0.4479562529591723;83.71525962501696;10847
56;2020-02-01;0.8374624624624625;0.2738574334542724;0.505360612423831;80.76318160766414;5328
56;2020-03-01;0.9938398357289527;0.0057471264367816;0.0057471264367816;87.34290387155758;487
56;2020-04-01;0.6947208795374846;0.510851435625778;0.5157596550437186;89.69730903671581;10551
56;2020-05-01;0.7604889141557704;0.48585899589925674;0.4870531081309481;83.06491256298965;17590
56;2020-06-01;0.6851681445541241;0.7088756019231413;0.7103896341132194;89.65761335242996;23908
56;2020-07-01;0.7337212524244944;0.5267998983117912;0.5279980424350238;102.12163781779304;21654
56;2020-08-01;0.7292040281418126;0.5377490496487243;0.5394430372004243;99.54613213820669;7249
56;2020-09-01;0.7485912440398786;0.6631665253956492;0.6643112416438045;100.91890649916722;4614
56;2020-11-01;0.9833465503568596;0.08209142218336278;0.08982938868421596;120.84590396140452;1261
56;2020-12-01;0.779867528007196;0.467092164104417;0.4709635621271077;127.38127970298387;48916
56;2021-02-01;0.8211754897874114;0.5274458115341981;0.529757870094305;132.54182363375722;9596
56;2021-03-01;0.7453859348198971;0.5759642549966563;0.5795324233830187;131.99689380244476;29150
56;2021-04-01;0.7452219238666877;0.5692587030490305;0.626419484004173;129.7180115341171;12662
56;2021-05-01;0.7111506257315207;0.5661090042838739;0.6935801429064855;129.69091067923335;44428
56;2021-06-01;0.763624493161982;0.4747583632543548;0.482251322995234;126.78794529743702;29102
