outcome;cate_pp;pol_euclidean;pol_forte;pol_fraca
gov;-204.31144712531264;131.99689380244476;4.861926967612237;0.3086621792941271
gov;2.258639629930828;115.57954434545697;4.923085121176421;0.2950488358886874
gov;431.72957363528906;47.16494761741943;3.32340146581074;0.2796924770174578
gov;0.6721732007864405;82.2321098373115;4.345488777622322;0.2399380929110812
gov;-136.74233298486288;102.12163781779304;4.636528074021251;0.3051208869444385
gov;12.26294134412651;92.9064226868247;4.1928201640977;0.2614866118999204
gov;16.892770303576565;52.13688445881277;3.488373988402257;0.2857690620046695
gov;-0.019006502706893746;83.06491256298965;4.313862662023891;0.2880323948453198
gov;1.8183838904055643;92.9064226868247;4.1928201640977;0.2614866118999204
gov;-3.8504792559889367;92.9064226868247;4.1928201640977;0.2614866118999204
gov;0.3631574978589375;45.83617808656066;3.7408802931724647;0.2450948200420892
gov;344.3292199035854;117.01246948017184;4.797809337609697;0.2922744106565197
gov;0.5876802448551238;101.4410907087327;4.585218225538939;0.2741250065232457
gov;89.67420380608134;92.9064226868247;4.1928201640977;0.2614866118999204
gov;-49.20858327075743;117.01246948017184;4.797809337609697;0.2922744106565197
gov;-0.283398396824841;80.76318160766414;4.587247314349589;0.2683292040234515
gov;-4.180982971410607;92.9064226868247;4.1928201640977;0.2614866118999204
gov;44.370010199750354;129.69091067923335;4.745785565727982;0.3044563791405524
gov;-1.378020930381528;89.69730903671581;4.504268166457399;0.2910497881932392
gov;0.4111386623586816;46.79659330479913;3.779494316020653;0.2111234926773145
gov;218.18837314958176;116.4804969203943;4.710801259571917;0.296271710649176
gov;0.8736670779628142;127.38127970298387;4.721706312337836;0.3043170365327997
gov;28.06658552349095;126.78794529743702;4.81298968357993;0.3020127594277212
gov;-8.323255060957935;131.99689380244476;4.861926967612237;0.3086621792941271
gov;-21.515889050734156;92.9064226868247;4.1928201640977;0.2614866118999204
gov;23.937813726147485;101.4410907087327;4.585218225538939;0.2741250065232457
gov;-49.59311702598222;83.06491256298965;4.313862662023891;0.2880323948453198
gov;-0.2149215323496434;80.4131966383154;4.4180256001733476;0.2505297128997232
gov;1.3643550945041758;117.01246948017184;4.797809337609697;0.2922744106565197
gov;-38.83307355597111;126.78794529743702;4.81298968357993;0.3020127594277212
gov;53.22215256323247;115.57954434545697;4.923085121176421;0.2950488358886874
gov;-35.34301434105036;126.78794529743702;4.81298968357993;0.3020127594277212
gov;1.093758322948926;26.54445037253096;3.758503490866562;0.1794981198542411
gov;-15.244679281117634;126.78794529743702;4.81298968357993;0.3020127594277212
gov;-24.30670538679398;92.9064226868247;4.1928201640977;0.2614866118999204
gov;-17.25942285783839;92.9064226868247;4.1928201640977;0.2614866118999204
gov;6.673864097475881;89.65761335242998;4.460322935251162;0.2987195881998073
gov;62.52449529055974;132.54182363375722;4.79567212284077;0.3043313501385644
gov;9.734864371280484;131.99689380244476;4.861926967612237;0.3086621792941271
gov;0.40217037757200247;31.925317493275852;4.222131201709505;0.2744271534117612
gov;-6.078647776652609;92.9064226868247;4.1928201640977;0.2614866118999204
gov;-108.7175196413185;131.99689380244476;4.861926967612237;0.3086621792941271
gov;26.219189110469678;89.65761335242998;4.460322935251162;0.2987195881998073
gov;2.5128655891561658;92.9064226868247;4.1928201640977;0.2614866118999204
gov;0.1278754061137928;82.2321098373115;4.345488777622322;0.2399380929110812
gov;-37.866820126905196;129.7180115341171;4.716244982011463;0.3057867257874458
gov;-4.2087720414116125;116.4804969203943;4.710801259571917;0.296271710649176
gov;0.7441507266985836;28.023437265771776;4.689242187692357;0.2256896818624863
gov;-269.1501128128988;129.69091067923335;4.745785565727982;0.3044563791405524
gov;-29.85126987275255;127.38127970298387;4.721706312337836;0.3043170365327997
gov;0.45540017026958823;26.54445037253096;3.758503490866562;0.1794981198542411
gov;19.30338028579035;129.69091067923335;4.745785565727982;0.3044563791405524
gov;5.470336903815154;101.4410907087327;4.585218225538939;0.2741250065232457
gov;-1.0575584264399098;52.99630898998068;3.5582055187189026;0.2873934182910207
gov;-55.3206540287398;102.12163781779304;4.636528074021251;0.3051208869444385
gov;-331.0485782463328;97.31008758586174;4.580257772994784;0.2545909070957047
gov;-0.3809291032331408;92.9064226868247;4.1928201640977;0.2614866118999204
gov;2.4900965450123698;117.01246948017184;4.797809337609697;0.2922744106565197
gov;-40.28246351302129;127.38127970298387;4.721706312337836;0.3043170365327997
gov;-1.4370906657780826;83.06491256298965;4.313862662023891;0.2880323948453198
gov;2.4889739615591364;92.9064226868247;4.1928201640977;0.2614866118999204
gov;2.4834868108997514;30.366652169010568;3.2548253255820567;0.2112901098573518
gov;-262.3528581658365;89.65761335242998;4.460322935251162;0.2987195881998073
gov;-39.319842600059474;92.9064226868247;4.1928201640977;0.2614866118999204
gov;-10.48958263683728;92.9064226868247;4.1928201640977;0.2614866118999204
gov;26.516130826951535;56.02194072116371;3.66041324380981;0.2937855697418478
gov;-7.500878325093817;31.925317493275852;4.222131201709505;0.2744271534117612
gov;298.5363387985072;129.69091067923335;4.745785565727982;0.3044563791405524
gov;-2.8471709090574198;65.55038587039726;3.645976688190957;0.2004188789099956
gov;-0.29471661403624516;82.87444213723464;4.078240654928896;0.2261437900231154
gov;20.047224119727318;55.48834144589442;3.710991118966183;0.2908135880559679
gov;-1.3706978815107462;31.925317493275852;4.222131201709505;0.2744271534117612
gov;-50.01430426590808;31.925317493275852;4.222131201709505;0.2744271534117612
gov;5.459035885770969;117.01246948017184;4.797809337609697;0.2922744106565197
gov;3.5605382170202593;92.9064226868247;4.1928201640977;0.2614866118999204
gov;3.902488596102127;129.69091067923335;4.745785565727982;0.3044563791405524
gov;-7.978791965951423;129.69091067923335;4.745785565727982;0.3044563791405524
gov;160.73974808141287;117.01246948017184;4.797809337609697;0.2922744106565197
gov;-64.75027496475292;116.4804969203943;4.710801259571917;0.296271710649176
