mes;status_bols;sim_rate;n
2022-12-01;indep;0.6459881129271917;2692
2022-12-01;opos;0.6706131078224101;4730
2023-03-01;coal;0.7785448751991503;1883
2023-03-01;indep;0.8385826771653543;508
2023-03-01;opos;0.6744186046511628;860
2023-04-01;coal;0.5961864406779661;2360
2023-04-01;indep;0.6069469835466179;547
2023-04-01;opos;0.7777777777777778;1062
2023-05-01;coal;0.6209724663151728;10242
2023-05-01;indep;0.6013045250713412;2453
2023-05-01;opos;0.5833689610944848;4678
2023-06-01;coal;0.7256822953114066;1429
2023-06-01;indep;0.7226890756302521;357
2023-06-01;opos;0.6434231378763867;631
2023-07-01;coal;0.5986803519061583;6820
2023-07-01;indep;0.656004828002414;1657
2023-07-01;opos;0.7406064601186553;3034
2023-08-01;coal;0.7483861914117317;7126
2023-08-01;indep;0.7435294117647059;1700
2023-08-01;opos;0.7842349304482226;3235
2023-09-01;coal;0.5060595763959679;8829
2023-09-01;indep;0.5020898641588297;1914
2023-09-01;opos;0.544917864476386;3896
2023-10-01;coal;0.3684210526315789;7714
2023-10-01;indep;0.3872387238723872;1818
2023-10-01;opos;0.3808724832214765;3576
2023-11-01;coal;0.5687740060209696;9633
2023-11-01;indep;0.6;2255
2023-11-01;opos;0.5587196987526477;4249
2023-12-01;coal;0.5811484544548068;17049
2023-12-01;indep;0.6387206203053065;4127
2023-12-01;opos;0.6023684210526316;7600
2024-02-01;coal;0.8115491009681881;2892
2024-02-01;indep;0.8127490039840638;753
2024-02-01;opos;0.9259807549962991;1351
2024-03-01;coal;0.5975024015369836;8328
2024-03-01;indep;0.6051859099804305;2044
2024-03-01;opos;0.5733512786002691;3715
2024-04-01;coal;0.70522141440846;3026
2024-04-01;indep;0.6584699453551912;732
2024-04-01;opos;0.7111613876319759;1326
2024-05-01;coal;0.6246472248353716;8504
2024-05-01;indep;0.6353641777370591;2183
2024-05-01;opos;0.506066734074823;3956
2024-06-01;coal;0.6525183927560838;1767
2024-06-01;indep;0.6584269662921348;445
2024-06-01;opos;0.7846153846153846;780
2024-07-01;coal;0.6079362647464379;6527
2024-07-01;indep;0.5955696202531645;1580
2024-07-01;opos;0.6933015980958858;2941
2024-08-01;coal;0.6621649273582976;4887
2024-08-01;indep;0.6687647521636507;1271
2024-08-01;opos;0.6713483146067416;2136
2024-09-01;coal;0.3472222222222222;6696
2024-09-01;indep;0.4024732996065205;1779
2024-09-01;opos;0.44570502431118314;3085
2024-10-01;coal;0.48454027664768107;2458
2024-10-01;indep;0.5337620578778135;622
2024-10-01;opos;0.4642857142857143;1148
2024-11-01;coal;0.5842837056709889;6401
2024-11-01;indep;0.6056603773584905;1590
2024-11-01;opos;0.6164886515353805;2996
2024-12-01;coal;0.5449083346171623;12982
2024-12-01;indep;0.5421098016671457;3479
2024-12-01;opos;0.5994738572837882;6082
2025-02-01;coal;0.5678768745067088;2534
2025-02-01;indep;0.6035031847133758;628
2025-02-01;opos;0.6534979423868312;1215
2025-03-01;coal;0.5559660140376801;2707
2025-03-01;indep;0.5485122897800776;773
2025-03-01;opos;0.5360610263522885;1442
2025-04-01;coal;0.5412315448325531;2777
2025-04-01;indep;0.5532467532467532;770
2025-04-01;opos;0.7665454545454545;1375
