coef_sd;se_sd;coef_per_unit;se_per_unit;pp_per_unit;pp_per_sd;pval;stars;n_obs;std_T;group;model;iv_set
0.052958;0.015767;0.07611061;0.02266026;7.6111;5.2958;0.000783;***;35581;0.695798;leg55_T_mid;PLIV;backlog
0.008127;0.001835;0.00297234;0.00067094;0.2972;0.8127;9e-06;***;35584;2.734266;leg55_T_high;PLR;none
-0.0314;0.004015;-0.01148375;0.00146834;-1.1484;-3.14;0.0;***;35584;2.734266;leg55_T_high;PLIV;backlog
-0.001518;0.000981;-0.00465325;0.00300679;-0.4653;-0.1518;0.121724;;131681;0.326134;leg56_T_low;PLR;none
-0.111249;0.038525;-0.34111348;0.11812506;-34.1113;-11.1249;0.00388;***;131681;0.326134;leg56_T_low;PLIV;backlog
-0.006983;0.001007;-0.00998757;0.00143982;-0.9988;-0.6983;0.0;***;131669;0.69917;leg56_T_mid;PLR;none
-0.06629;0.008251;-0.09481199;0.01180173;-9.4812;-6.629;0.0;***;131669;0.69917;leg56_T_mid;PLIV;backlog
0.010955;0.001058;0.00507774;0.00049046;0.5078;1.0955;0.0;***;131676;2.157362;leg56_T_high;PLR;none
0.037145;0.002624;0.01721771;0.00121631;1.7218;3.7145;0.0;***;131676;2.157362;leg56_T_high;PLIV;backlog
0.014655;0.001536;0.00986873;0.00103446;0.9869;1.4655;0.0;***;40458;1.484943;leg55_opos_naoel;PLR;none
0.092331;0.006584;0.06217787;0.00443367;6.2178;9.2331;0.0;***;40458;1.484943;leg55_opos_naoel;PLIV;backlog
-0.00013;0.004095;-3.881e-05;0.00122222;-0.0039;-0.013;0.974668;;5066;3.350358;leg55_opos_el;PLR;none
0.053465;0.057262;0.01595804;0.0170912;1.5958;5.3465;0.350459;;5066;3.350358;leg55_opos_el;PLIV;backlog
0.010609;0.000814;0.00621072;0.00047637;0.6211;1.0609;0.0;***;126173;1.708253;leg55_coal_naoel;PLR;none
0.014135;0.004533;0.00827429;0.00265346;0.8274;1.4135;0.001819;***;126173;1.708253;leg55_coal_naoel;PLIV;backlog
0.000489;0.001878;0.0001187;0.00045612;0.0119;0.0489;0.794683;;20685;4.118323;leg55_coal_el;PLR;none
0.015853;0.018888;0.0038494;0.00458633;0.3849;1.5853;0.40129;;20685;4.118323;leg55_coal_el;PLIV;backlog
-0.005163;0.001008;-0.00251716;0.0004916;-0.2517;-0.5163;0.0;***;136756;2.051124;leg56_opos_naoel;PLR;none
-0.062321;0.006875;-0.03038392;0.00335167;-3.0384;-6.2321;0.0;***;136756;2.051124;leg56_opos_naoel;PLIV;backlog
0.002836;0.00166;0.0009344;0.00054686;0.0934;0.2836;0.087513;*;42029;3.03491;leg56_opos_el;PLR;none
-0.083826;0.018665;-0.02762057;0.00615026;-2.7621;-8.3826;7e-06;***;42029;3.03491;leg56_opos_el;PLIV;backlog
-0.009462;0.000665;-0.00436088;0.00030636;-0.4361;-0.9462;0.0;***;190471;2.169727;leg56_coal_naoel;PLR;none
-0.032069;0.003633;-0.01478029;0.00167427;-1.478;-3.2069;0.0;***;190471;2.169727;leg56_coal_naoel;PLIV;backlog
0.001361;0.000948;0.00039407;0.0002745;0.0394;0.1361;0.151123;;86743;3.454379;leg56_coal_el;PLR;none
0.070397;0.038127;0.02037894;0.01103741;2.0379;7.0397;0.064841;*;86743;3.454379;leg56_coal_el;PLIV;backlog
